# Extracted-region manifest for the US ROM.
#
# label <address> <name>
#   Declares a symbol at an address that isn't extracted yet (still raw
#   .incbin) but needs to be referenced from code that IS extracted.
#
# <start> <end> <asm-file> <name>
#   A curated, hand-verified extracted region. Boundaries must be fully
#   confirmed (all reachable code walked to genuine termination) before
#   a function earns a row here -- see docs/ for how each was confirmed.
#
# Everything not covered by a region stays as raw .incbin from
# baserom.us.gba, filled in by tools/gen_rom_s.py. The file it generates
# (build/us/rom.s) is never committed, same as everything else in build/.
#
# A row whose asm-file is also listed in regions.jp.txt at the same
# address must be byte-identical in both ROMs at that address (verified,
# not assumed -- see the file itself for how).
#
# The Krawall audio rows below (samples/modules/patterns) are generated by
# tools/extract_krawall.py, not hand-written -- but ARE listed here like
# everything else, one row per region. Their asm-file always ends in
# `.bin`: gen_rom_s.py .incbin's these directly (no wrapper .s needed).
# The .bin files themselves are gitignored (asm/krawall/) and regenerated
# locally by tools/extract_krawall.py before building -- they're the
# game's actual copyrighted audio content, unlike this manifest, which is
# just addresses/names. See docs/formats/krawall.md.
#
# Known gap: a handful of module headers are followed by a real unclaimed
# gap (largest ~22KB) that isn't sample/pattern trailing padding -- every
# sample's and pattern's own trailing padding is fully accounted for by
# exact formulas in extract_krawall.py (asserted, not assumed: it refuses
# to generate if any sample/pattern doesn't land exactly on the next
# region's start). These particular gaps most likely hold additional
# modules that unkrawerter's own discovery never found -- see
# docs/formats/krawall.md's Open questions and Future work. Doesn't
# affect correctness either way (unclaimed bytes just stay as safe raw
# .incbin from the baserom, like any other gap).

label 0x080000C0 _080000C0

0x08000000 0x080000A0 asm/gba_header.s          GBAHeader
0x080000A0 0x080000C0 asm/rom_header_tail.us.s  ROMHeaderTail

0x0800027C 0x080002A4 asm/rt/divsi3.s           divsi3
0x080002A4 0x080002E0 asm/rt/divmodsi4.s        divmodsi4
0x080002E0 0x080005AC asm/rt/udivsi3.s          udivsi3

0x0804C4F6 0x0804C616 asm/data/playable_character_names.us.s sPlayableCharacterNames
0x0804CEC4 0x0804D524 asm/data/famous_wizard_card_names.us.s sFamousWizardCardNames

# --- Krawall audio data (generated by tools/extract_krawall.py) ---
0x08A9C6D0 0x08A9CC74 asm/krawall/us/patterns/KrawallPattern0.bin KrawallPattern0
0x08A9CC74 0x08A9D0C8 asm/krawall/us/patterns/KrawallPattern1.bin KrawallPattern1
0x08A9D0C8 0x08A9D224 asm/krawall/us/patterns/KrawallPattern2.bin KrawallPattern2
0x08A9D224 0x08A9D4FC asm/krawall/us/patterns/KrawallPattern3.bin KrawallPattern3
0x08A9D4FC 0x08A9D8A4 asm/krawall/us/patterns/KrawallPattern4.bin KrawallPattern4
0x08A9D8A4 0x08A9DCEC asm/krawall/us/patterns/KrawallPattern5.bin KrawallPattern5
0x08A9DCEC 0x08A9DF78 asm/krawall/us/patterns/KrawallPattern6.bin KrawallPattern6
0x08A9DF78 0x08A9E490 asm/krawall/us/patterns/KrawallPattern7.bin KrawallPattern7
0x08A9E490 0x08A9E95C asm/krawall/us/patterns/KrawallPattern8.bin KrawallPattern8
0x08A9E95C 0x08A9EF24 asm/krawall/us/patterns/KrawallPattern9.bin KrawallPattern9
0x08A9EF24 0x08A9F580 asm/krawall/us/patterns/KrawallPattern10.bin KrawallPattern10
0x08A9F580 0x08A9FA04 asm/krawall/us/patterns/KrawallPattern11.bin KrawallPattern11
0x08A9FA04 0x08A9FFE0 asm/krawall/us/patterns/KrawallPattern12.bin KrawallPattern12
0x08A9FFE0 0x08AA0444 asm/krawall/us/patterns/KrawallPattern13.bin KrawallPattern13
0x08AA0444 0x08AA08AC asm/krawall/us/patterns/KrawallPattern14.bin KrawallPattern14
0x08AA08AC 0x08AA0A54 asm/krawall/us/modules/KrawallModule0.bin KrawallModule0
0x08AA0A54 0x08AA0E6C asm/krawall/us/patterns/KrawallPattern15.bin KrawallPattern15
0x08AA0E6C 0x08AA12E8 asm/krawall/us/patterns/KrawallPattern16.bin KrawallPattern16
0x08AA12E8 0x08AA17CC asm/krawall/us/patterns/KrawallPattern17.bin KrawallPattern17
0x08AA17CC 0x08AA1C98 asm/krawall/us/patterns/KrawallPattern18.bin KrawallPattern18
0x08AA1C98 0x08AA2270 asm/krawall/us/patterns/KrawallPattern19.bin KrawallPattern19
0x08AA2270 0x08AA27D8 asm/krawall/us/patterns/KrawallPattern20.bin KrawallPattern20
0x08AA27D8 0x08AA2D0C asm/krawall/us/patterns/KrawallPattern21.bin KrawallPattern21
0x08AA2D0C 0x08AA31A4 asm/krawall/us/patterns/KrawallPattern22.bin KrawallPattern22
0x08AA31A4 0x08AA362C asm/krawall/us/patterns/KrawallPattern23.bin KrawallPattern23
0x08AA362C 0x08AA3AF8 asm/krawall/us/patterns/KrawallPattern24.bin KrawallPattern24
0x08AA3AF8 0x08AA420C asm/krawall/us/patterns/KrawallPattern25.bin KrawallPattern25
0x08AA420C 0x08AA458C asm/krawall/us/patterns/KrawallPattern26.bin KrawallPattern26
0x08AA458C 0x08AA48F8 asm/krawall/us/patterns/KrawallPattern27.bin KrawallPattern27
0x08AA48F8 0x08AA4C64 asm/krawall/us/patterns/KrawallPattern28.bin KrawallPattern28
0x08AA4C64 0x08AA4E08 asm/krawall/us/modules/KrawallModule1.bin KrawallModule1
0x08AA4E08 0x08AA5034 asm/krawall/us/patterns/KrawallPattern29.bin KrawallPattern29
